title,document_type,field,intended_author,usable_for_generation,authority_level,issuing_authority,source_url,publish_date,retrieved_at,local_path,source_status,notes
民事答辩状（公民对民事起诉提出答辩用）,民事诉讼文书样式,civil,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/216.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/civil/spc-2016-civil-answer-individual.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
民事上诉状（当事人提起上诉用）,民事诉讼文书样式,civil,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/379.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/civil/spc-2016-civil-appeal.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
民事起诉状（公民提起民事诉讼用）,民事诉讼文书样式,civil,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/181.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/civil/spc-2016-civil-complaint-individual.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
民事起诉状（法人或者其他组织提起民事诉讼用）,民事诉讼文书样式,civil,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/187.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/civil/spc-2016-civil-complaint-organization.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
申请书（申请诉讼财产保全用）,民事诉讼文书样式,civil,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/126.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/civil/spc-2016-property-preservation-litigation.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
申请书（诉前或者仲裁前申请财产保全用）,民事诉讼文书样式,civil,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/113.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/civil/spc-2016-property-preservation-pre-litigation.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
送达地址确认书（确认送达地址用）,民事诉讼文书样式,civil,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/378.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/civil/spc-2016-service-address-confirmation.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
申请书（申请执行用）,民事执行文书样式,enforcement,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/639.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/enforcement/spc-2016-enforcement-application.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
授权委托书（公民委托诉讼代理人用）,诉讼代理授权文书样式,lawyer_practice,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/51.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/lawyer_practice/spc-2016-power-of-attorney-individual.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
授权委托书（法人或者其他组织委托诉讼代理人用）,诉讼代理授权文书样式,lawyer_practice,party,true,A,中华人民共和国最高人民法院,https://www.court.gov.cn/susongyangshi/xiangqing/59.html,2016-09-28,2026-05-02,skills/legal-document-drafting/assets/official_templates/lawyer_practice/spc-2016-power-of-attorney-organization.md,official_collected,可作为律师/当事人提交文书模板；由旧 references 文件机械迁移，未改写官方正文。
