sequence,field,case_type,document_name,blank_template_url,example_template_url,source_page_url,download_status,local_blank_path,local_example_path,failure_reason,notes
1,criminal,侮辱案,侮辱案刑事（附带民事）自诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-01-侮辱案.md,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-01-侮辱案.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
2,criminal,诽谤案,诽谤案刑事（附带民事）自诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-02-诽谤案.md,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-02-诽谤案.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
3,criminal,重婚案,重婚案刑事（附带民事）自诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-03-重婚案.md,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-03-重婚案.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
4,criminal,拒不执行判决、裁定案,拒不执行判决、裁定案刑事（附带民事）自诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-04-拒不执行判决-裁定案.md,skills/legal-document-drafting/assets/official_templates/criminal/2025-67-04-拒不执行判决-裁定案.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
5,family,离婚纠纷,离婚纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/family/2025-67-05-离婚纠纷.md,skills/legal-document-drafting/assets/official_templates/family/2025-67-05-离婚纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
6,civil,民间借贷纠纷,民间借贷纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/civil/2025-67-06-民间借贷纠纷.md,skills/legal-document-drafting/assets/official_templates/civil/2025-67-06-民间借贷纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
7,commercial,金融借款合同纠纷,金融借款合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-07-金融借款合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-07-金融借款合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
8,commercial,买卖合同纠纷,买卖合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-08-买卖合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-08-买卖合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
9,labor,劳动争议纠纷,劳动争议纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/labor/2025-67-09-劳动争议纠纷.md,skills/legal-document-drafting/assets/official_templates/labor/2025-67-09-劳动争议纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
10,tort,机动车交通事故责任纠纷,机动车交通事故责任纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/tort/2025-67-10-机动车交通事故责任纠纷.md,skills/legal-document-drafting/assets/official_templates/tort/2025-67-10-机动车交通事故责任纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
